ea:9e:b4:53:24:54,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:90,44:48:c1:a5:82:30,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:39:c1,80:8d:b7:55:25:e3,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,38:17:c3:19:d7:72,38:17:c3:1f:01:81,38:17:c3:1f:01:82,44:48:c1:a5:82:20,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,80:8d:b7:55:3a:52,80:8d:b7:55:25:e0,80:8d:b7:55:3a:42,20:a6:cd:50:24:b1,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,38:17:c3:19:d7:60,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,20:a6:cd:50:24:a1,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:42,b4:5d:50:e1:92:33,b4:5d:50:e1:92:23,80:8d:b7:55:35:03,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:71,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,80:8d:b7:55:39:c2,80:8d:b7:55:3a:41,00:4e:35:df:06:41,38:17:c3:1f:09:90,b4:5d:50:e1:92:31,00:4e:35:df:06:40,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,80:8d:b7:55:3a:40,68:ff:7b:e4:af:39,b4:5d:50:e1:92:30,38:17:c3:19:55:52,20:a6:cd:42:0b:e3,38:17:c3:1f:22:30,b4:5d:50:e1:92:32,38:17:c3:1f:09:83,b4:5d:50:e1:96:53,38:17:c3:19:55:51,38:17:c3:19:55:50,38:17:c3:19:45:a2,38:17:c3:19:71:90,38:17:c3:1f:22:31,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,20:a6:cd:42:0b:f3,00:4e:35:de:e1:12,68:ff:7b:e4:af:38,38:17:c3:1f:22:32,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,00:4e:35:de:e1:11,38:17:c3:19:71:91,38:17:c3:1f:08:50,38:17:c3:1e:ff:00,00:4e:35:de:e1:10,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:30,38:17:c3:19:45:a1,38:17:c3:19:45:a0,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:21,38:17:c3:19:55:40,44:48:c1:91:95:b2,44:48:c1:91:95:b3,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,38:17:c3:19:55:42,38:17:c3:1f:08:51,38:17:c3:19:55:41,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,00:4e:35:de:e1:00,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:d7:42,38:17:c3:19:71:92,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:de:d7:43,38:17:c3:1f:08:52,38:17:c3:1f:22:20,00:4e:35:df:0e:12,38:17:c3:1f:08:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:11,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:10,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1b:08:b0,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:19:71:80,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:df:0e:10,38:17:c3:1f:0f:92,20:a6:cd:42:0b:f0,38:17:c3:1f:00:b0,38:17:c3:1f:0f:91,38:17:c3:24:4f:02,38:17:c3:1f:09:92,00:4e:35:df:27:12,38:17:c3:1f:09:91,38:17:c3:1f:08:42,38:17:c3:1f:08:41,b4:5d:50:e1:96:43,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:1f:09:93,38:17:c3:24:4f:00,b4:5d:50:e1:96:52,0a:05:a7:e3:d9:82,9e:2b:77:8e:45:c7,38:17:c3:1f:00:b2,44:48:c1:91:95:b1,38:17:c3:1f:00:b1,80:8d:b7:55:4d:10,44:48:c1:91:95:b0,x,y,label
-89,-100,-100,-100,-100,-98,-100,-86,-87,-86,-86,-77,-77,-77,-100,-100,-100,-86,-55,-86,-88,-77,-76,-77,-76,-95,-85,-100,-97,-100,-100,-100,-100,-98,-95,-97,-91,-92,-100,-100,-76,-95,-80,-100,-80,-79,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-96,-98,-98,-98,-100,-98,-100,-100,-95,-82,-72,-100,-100,-79,-59,-60,-57,-80,-98,-100,-60,-100,-100,-100,-100,-100,-60,-61,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-80,-100,-100,-100,-81,-100,-100,-100,-84,-100,-100,-88,-87,-100,-64,-100,-100,-100,-96,-63,-100,-63,-100,-100,-78,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-95,-97,-87,-86,-96,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,714.4000000000004,32.0
-89,-100,-100,-100,-100,-97,-100,-86,-86,-86,-86,-78,-78,-77,-100,-100,-100,-85,-52,-85,-86,-77,-76,-77,-76,-95,-87,-100,-98,-100,-100,-100,-100,-98,-93,-98,-91,-96,-100,-100,-74,-95,-80,-100,-76,-76,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-96,-97,-96,-97,-100,-99,-100,-100,-92,-83,-71,-100,-100,-77,-60,-60,-57,-80,-99,-100,-60,-100,-100,-100,-100,-100,-60,-62,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-100,-100,-100,-78,-100,-100,-100,-81,-100,-100,-85,-84,-100,-62,-100,-100,-100,-96,-61,-100,-63,-100,-100,-77,-81,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-94,-96,-87,-84,-95,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,714.4000000000004,32.0
-90,-100,-100,-100,-100,-98,-100,-88,-88,-87,-86,-78,-78,-78,-100,-100,-100,-87,-53,-87,-89,-78,-77,-78,-77,-95,-85,-100,-97,-100,-100,-100,-100,-98,-95,-96,-91,-92,-100,-100,-75,-95,-80,-100,-79,-78,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-96,-98,-98,-99,-100,-98,-100,-100,-94,-83,-73,-100,-100,-80,-61,-62,-57,-80,-98,-100,-61,-100,-100,-100,-100,-100,-61,-62,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-80,-100,-100,-100,-82,-100,-100,-100,-82,-100,-100,-89,-88,-98,-65,-100,-100,-98,-98,-65,-100,-65,-100,-100,-78,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-97,-98,-88,-88,-97,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,714.4000000000004,32.0
-89,-100,-100,-100,-100,-97,-100,-86,-87,-86,-86,-78,-78,-77,-100,-100,-100,-85,-53,-86,-87,-77,-76,-77,-76,-95,-85,-100,-98,-100,-100,-100,-100,-98,-94,-97,-90,-93,-100,-100,-75,-95,-79,-100,-78,-77,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-96,-97,-97,-98,-100,-98,-100,-100,-93,-82,-71,-100,-100,-78,-59,-60,-57,-79,-98,-100,-60,-100,-100,-100,-100,-100,-60,-61,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-80,-100,-100,-100,-81,-100,-100,-100,-82,-100,-100,-87,-86,-100,-64,-100,-100,-100,-97,-63,-100,-63,-100,-100,-78,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-95,-97,-87,-86,-96,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,714.4000000000004,32.0
-89,-100,-100,-100,-100,-97,-100,-86,-87,-86,-86,-78,-78,-77,-100,-100,-100,-85,-53,-86,-87,-77,-76,-77,-76,-95,-85,-100,-98,-100,-100,-100,-100,-98,-94,-97,-90,-93,-100,-100,-75,-95,-79,-100,-78,-77,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-96,-97,-97,-98,-100,-98,-100,-100,-93,-82,-71,-100,-100,-78,-59,-60,-57,-79,-98,-100,-60,-100,-100,-100,-100,-100,-60,-61,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-80,-100,-100,-100,-81,-100,-100,-100,-82,-100,-100,-87,-86,-100,-64,-100,-100,-100,-97,-63,-100,-63,-100,-100,-78,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-95,-97,-87,-86,-96,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,714.4000000000004,32.0
-89,-100,-100,-100,-100,-98,-100,-93,-95,-91,-92,-80,-80,-80,-100,-100,-100,-89,-52,-90,-91,-80,-80,-80,-80,-96,-93,-100,-97,-100,-100,-100,-100,-98,-97,-97,-92,-96,-100,-100,-76,-94,-85,-100,-81,-80,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-96,-100,-100,-100,-100,-98,-100,-100,-98,-87,-77,-100,-100,-83,-66,-66,-63,-85,-94,-100,-68,-100,-100,-100,-100,-100,-68,-69,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-77,-100,-100,-95,-94,-87,-83,-100,-100,-86,-85,-81,-100,-75,-100,-100,-76,-77,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-88,-95,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,728.6000000000005,33.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-98,-100,-97,-100,-100,-100,-100,-97,-97,-98,-93,-98,-100,-100,-77,-93,-90,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-96,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-84,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-71,-100,-100,-98,-98,-78,-94,-100,-100,-78,-74,-91,-100,-83,-100,-100,-71,-71,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,728.6000000000005,33.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-99,-100,-98,-100,-100,-100,-100,-97,-97,-97,-93,-99,-100,-100,-77,-93,-90,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-85,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-72,-100,-100,-98,-98,-78,-94,-100,-100,-78,-75,-91,-100,-82,-100,-100,-72,-73,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,728.6000000000005,33.0
-90,-100,-100,-100,-100,-99,-100,-95,-96,-91,-92,-80,-81,-81,-100,-100,-100,-90,-53,-91,-92,-81,-80,-81,-81,-96,-93,-100,-98,-100,-100,-100,-100,-98,-97,-96,-92,-96,-100,-100,-76,-94,-87,-100,-80,-79,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-96,-100,-100,-100,-100,-99,-100,-100,-97,-88,-78,-100,-100,-84,-68,-68,-64,-86,-94,-100,-69,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-100,-100,-76,-100,-100,-95,-94,-84,-82,-100,-100,-84,-85,-81,-100,-75,-100,-100,-75,-76,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-89,-96,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,728.6000000000005,33.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-99,-100,-98,-100,-100,-100,-100,-97,-97,-97,-93,-99,-100,-100,-77,-93,-90,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-85,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-72,-100,-100,-98,-98,-78,-94,-100,-100,-78,-75,-91,-100,-82,-100,-100,-72,-73,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,728.6000000000005,33.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-99,-100,-98,-100,-100,-100,-100,-97,-97,-97,-93,-99,-100,-100,-77,-93,-90,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-85,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-72,-100,-100,-98,-98,-78,-94,-100,-100,-78,-75,-91,-100,-82,-100,-100,-72,-73,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,728.6000000000005,33.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-99,-100,-98,-100,-100,-100,-100,-97,-97,-97,-93,-99,-100,-100,-77,-93,-90,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-85,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-72,-100,-100,-98,-98,-78,-94,-100,-100,-78,-75,-91,-100,-82,-100,-100,-72,-73,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,742.8000000000005,34.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-99,-100,-98,-100,-100,-100,-100,-97,-97,-97,-93,-99,-100,-100,-77,-93,-90,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-85,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-72,-100,-100,-98,-98,-78,-94,-100,-100,-78,-75,-91,-100,-82,-100,-100,-72,-73,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,742.8000000000005,34.0
-88,-100,-100,-100,-100,-100,-100,-97,-99,-94,-96,-82,-82,-82,-100,-100,-100,-90,-50,-92,-92,-82,-82,-82,-83,-95,-98,-100,-98,-100,-100,-100,-100,-97,-97,-98,-93,-99,-100,-100,-77,-94,-90,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-84,-71,-71,-68,-90,-92,-100,-73,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-71,-100,-100,-98,-98,-77,-93,-100,-100,-77,-74,-90,-100,-82,-100,-100,-71,-71,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-88,-99,-100,-90,-91,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,742.8000000000005,34.0
-88,-100,-100,-100,-100,-100,-100,-97,-99,-94,-96,-82,-82,-82,-100,-100,-100,-90,-50,-92,-92,-82,-82,-82,-83,-95,-98,-100,-98,-100,-100,-100,-100,-97,-97,-98,-93,-99,-100,-100,-77,-94,-90,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-84,-71,-71,-68,-90,-92,-100,-73,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-71,-100,-100,-98,-98,-77,-93,-100,-100,-77,-74,-90,-100,-82,-100,-100,-71,-71,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-88,-99,-100,-90,-91,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,742.8000000000005,34.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-99,-100,-98,-100,-100,-100,-100,-97,-97,-97,-93,-99,-100,-100,-77,-93,-90,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-85,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-72,-100,-100,-98,-98,-78,-94,-100,-100,-78,-75,-91,-100,-82,-100,-100,-72,-73,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,742.8000000000005,34.0
-88,-100,-100,-100,-100,-100,-100,-97,-99,-94,-96,-82,-82,-82,-100,-100,-100,-90,-50,-92,-92,-82,-82,-82,-83,-95,-98,-100,-98,-100,-100,-100,-100,-97,-97,-98,-93,-99,-100,-100,-77,-94,-90,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-84,-71,-71,-68,-90,-92,-100,-73,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-71,-100,-100,-98,-98,-77,-93,-100,-100,-77,-74,-90,-100,-82,-100,-100,-71,-71,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-88,-99,-100,-90,-91,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,742.8000000000005,34.0
-88,-100,-100,-100,-100,-100,-100,-97,-99,-94,-95,-82,-82,-82,-100,-100,-100,-90,-50,-92,-92,-82,-82,-82,-83,-95,-98,-100,-97,-100,-100,-100,-100,-97,-97,-98,-93,-98,-100,-100,-77,-94,-90,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-96,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-83,-71,-71,-68,-90,-92,-100,-73,-100,-100,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-70,-100,-100,-98,-97,-77,-93,-100,-100,-77,-73,-90,-100,-83,-100,-100,-70,-70,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-88,-99,-100,-90,-91,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,757.0000000000006,35.0
-87,-100,-100,-100,-100,-100,-100,-98,-100,-94,-96,-82,-82,-82,-100,-100,-100,-90,-51,-91,-91,-82,-82,-82,-82,-95,-98,-100,-97,-100,-100,-100,-100,-97,-97,-98,-93,-98,-100,-100,-77,-93,-90,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-96,-100,-100,-100,-100,-100,-100,-100,-98,-90,-80,-100,-100,-84,-71,-70,-67,-90,-91,-100,-72,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-87,-100,-100,-100,-84,-100,-100,-100,-71,-100,-100,-98,-98,-78,-94,-100,-100,-78,-74,-91,-100,-83,-100,-100,-71,-71,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-88,-99,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-100,-100,-100,-100,-100,545.0,757.0000000000006,35.0
