38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:41,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:55:42,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:55:50,38:17:c3:19:55:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a0,b0:be:76:f8:30:5e,38:17:c3:24:58:a2,38:17:c3:24:58:a1,00:4e:35:df:06:50,70:56:81:c9:91:ab,32:f7:72:50:57:3b,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:03,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a0,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:df:06:51,00:4e:35:df:06:40,b4:5d:50:e1:92:33,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:70,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:19:d7:62,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,20:a6:cd:50:24:b2,38:17:c3:1e:ff:01,38:17:c3:1e:ff:11,80:8d:b7:55:35:00,38:17:c3:1f:01:80,38:17:c3:19:d7:60,00:4e:35:df:06:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b1,b4:5d:50:e1:92:23,38:17:c3:1e:ff:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,00:4e:35:df:06:41,38:17:c3:19:45:b0,60:32:b1:3e:1a:b8,38:17:c3:19:45:a1,38:17:c3:19:45:a0,60:32:b1:3e:1a:b7,38:17:c3:19:45:a2,00:4e:35:de:e1:12,b4:5d:50:e1:92:22,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:50,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:20,b4:5d:50:e1:96:53,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:02,a8:bd:27:4c:bd:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:08:50,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:50,38:17:c3:19:71:90,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,00:4e:35:de:d7:40,a8:bd:27:4c:bd:20,38:17:c3:19:71:92,9c:d6:43:60:92:e0,38:17:c3:19:71:91,38:17:c3:1f:22:32,00:4e:35:de:d7:43,38:17:c3:1f:22:22,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:71:82,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:11,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:24:4f:01,38:17:c3:24:4f:00,00:4e:35:de:d7:41,x,y,timestamp
-80,-80,-74,-100,-100,-74,-100,-100,-80,-74,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-80,-100,-100,-78,-78,-75,-77,-76,-75,-65,-65,-100,-100,-75,-75,-59,-59,-67,-73,-73,-65,-65,-85,-100,-77,-71,-71,-71,-100,-100,-100,-100,-78,-77,-100,-65,-75,-60,-65,-78,-71,-80,-100,-100,-61,-61,-65,-64,-80,-72,-82,-61,-74,-65,-100,-82,-81,-66,-67,-100,-100,-100,-77,-77,-100,-100,-100,-67,-100,-100,-72,-100,-100,-100,-80,-100,-82,-82,-100,-100,-100,-72,-100,-80,-100,-100,-100,-100,-81,-77,-80,-80,-100,-100,-100,-77,-100,-77,-100,-82,-81,-82,-83,-84,-100,-100,-100,-100,-86,-87,-89,-100,-100,-92,-100,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,474,1637943065558
-81,-81,-74,-100,-100,-74,-100,-100,-81,-74,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-78,-100,-100,-77,-77,-76,-76,-78,-75,-65,-65,-100,-100,-75,-75,-59,-59,-68,-73,-73,-65,-65,-85,-100,-77,-77,-71,-71,-100,-100,-100,-100,-78,-76,-100,-65,-75,-59,-65,-77,-72,-78,-100,-100,-61,-61,-65,-65,-78,-72,-82,-62,-73,-65,-100,-82,-81,-67,-64,-100,-100,-100,-77,-77,-100,-100,-100,-67,-100,-100,-72,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-72,-100,-80,-100,-100,-100,-100,-82,-77,-82,-82,-100,-100,-100,-77,-100,-77,-100,-82,-82,-82,-83,-84,-100,-100,-100,-100,-86,-86,-100,-100,-89,-92,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,474,1641765893097
-80,-80,-74,-100,-100,-74,-100,-100,-81,-74,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-78,-100,-100,-77,-77,-75,-75,-75,-75,-65,-65,-100,-100,-75,-75,-59,-58,-70,-73,-73,-65,-65,-100,-100,-78,-77,-72,-72,-100,-100,-100,-100,-78,-75,-100,-65,-75,-58,-65,-78,-72,-82,-100,-100,-62,-62,-64,-64,-78,-72,-81,-62,-73,-64,-100,-81,-80,-68,-68,-100,-100,-81,-78,-78,-100,-100,-100,-68,-100,-100,-73,-100,-100,-100,-79,-100,-81,-81,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-81,-100,-81,-81,-100,-100,-100,-77,-100,-100,-100,-82,-82,-100,-100,-84,-83,-100,-100,-100,-87,-87,-100,-100,-89,-100,-88,-87,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,474,1645609237251
-72,-72,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-77,-100,-100,-76,-75,-62,-70,-70,-78,-61,-61,-100,-100,-78,-77,-60,-59,-68,-76,-76,-66,-66,-85,-81,-100,-77,-63,-63,-100,-100,-100,-100,-75,-70,-100,-61,-78,-60,-66,-86,-63,-77,-87,-100,-64,-100,-62,-100,-77,-100,-86,-64,-76,-61,-90,-88,-78,-71,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-82,-87,-100,-100,-80,-100,-80,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,457,1679316719868
-75,-74,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-77,-100,-100,-82,-82,-63,-70,-70,-76,-64,-64,-100,-100,-76,-76,-60,-60,-68,-76,-76,-72,-72,-85,-81,-80,-75,-65,-65,-100,-100,-100,-100,-82,-70,-100,-64,-76,-60,-72,-80,-66,-76,-86,-100,-63,-64,-62,-62,-76,-100,-88,-63,-76,-63,-90,-88,-76,-71,-70,-100,-100,-100,-80,-80,-100,-100,-100,-71,-100,-100,-73,-100,-100,-100,-80,-100,-88,-88,-100,-100,-100,-73,-100,-80,-100,-100,-100,-100,-84,-78,-84,-84,-87,-100,-100,-80,-100,-80,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-86,-86,-86,-86,-86,-100,-100,-100,-100,-86,-90,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,457,1683122973561
-82,-82,-75,-100,-100,-75,-100,-100,-82,-75,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-79,-100,-100,-76,-77,-68,-80,-79,-75,-60,-60,-100,-100,-75,-75,-59,-59,-100,-76,-76,-67,-67,-100,-100,-83,-75,-66,-66,-100,-100,-100,-100,-77,-79,-100,-60,-75,-59,-67,-82,-66,-79,-89,-100,-68,-68,-61,-61,-79,-71,-83,-68,-100,-63,-100,-82,-80,-71,-70,-100,-100,-79,-82,-83,-88,-100,-100,-71,-100,-100,-70,-100,-100,-100,-80,-100,-84,-83,-100,-100,-100,-71,-100,-80,-100,-100,-100,-100,-80,-82,-81,-81,-88,-100,-100,-100,-100,-100,-100,-77,-77,-77,-100,-82,-100,-100,-100,-100,-87,-86,-100,-84,-84,-83,-84,-89,-100,-100,-100,-100,-86,-100,-86,-89,-80,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,457,1686843260253
-75,-75,-75,-100,-100,-75,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-80,-100,-100,-78,-78,-73,-80,-79,-76,-65,-65,-100,-100,-77,-77,-60,-60,-100,-70,-69,-68,-68,-100,-83,-82,-69,-71,-71,-100,-100,-100,-100,-78,-79,-100,-65,-77,-60,-68,-82,-71,-79,-89,-100,-63,-64,-60,-60,-79,-71,-87,-64,-70,-60,-100,-86,-79,-100,-100,-100,-100,-82,-82,-82,-88,-100,-100,-100,-100,-82,-71,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-87,-80,-87,-87,-88,-100,-100,-100,-100,-100,-100,-77,-77,-76,-100,-82,-100,-100,-100,-100,-100,-100,-100,-87,-87,-87,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-80,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,457,1690713755561
-74,-74,-74,-100,-100,-100,-100,-100,-73,-75,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-78,-100,-100,-77,-78,-74,-100,-100,-79,-64,-64,-100,-100,-79,-79,-59,-59,-69,-78,-79,-65,-65,-100,-83,-79,-69,-69,-69,-100,-100,-100,-100,-78,-79,-100,-64,-79,-59,-65,-79,-69,-78,-100,-100,-66,-66,-60,-60,-77,-68,-87,-66,-80,-60,-100,-86,-79,-71,-72,-100,-100,-82,-80,-79,-100,-100,-100,-72,-100,-82,-68,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-68,-100,-100,-100,-100,-89,-100,-87,-80,-87,-83,-88,-100,-100,-100,-100,-100,-100,-79,-78,-78,-100,-84,-83,-100,-100,-100,-100,-100,-100,-87,-87,-87,-87,-89,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,457,1694443251254
-75,-75,-74,-100,-100,-74,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-76,-100,-100,-79,-78,-72,-100,-100,-79,-66,-66,-100,-100,-80,-81,-59,-60,-67,-78,-78,-67,-67,-100,-100,-78,-76,-67,-67,-100,-100,-100,-100,-79,-100,-100,-66,-81,-59,-67,-78,-67,-76,-90,-100,-67,-67,-58,-58,-76,-69,-83,-67,-78,-58,-100,-84,-79,-71,-71,-100,-100,-82,-78,-79,-100,-100,-100,-72,-100,-100,-70,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-69,-100,-100,-100,-100,-89,-100,-83,-83,-83,-83,-87,-100,-100,-100,-100,-100,-100,-77,-77,-78,-85,-84,-83,-100,-100,-100,-100,-86,-89,-86,-85,-86,-86,-89,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-88,-88,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,457,1698433368946
-73,-73,-77,-100,-100,-76,-100,-100,-73,-77,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-78,-100,-100,-83,-83,-68,-100,-100,-80,-65,-65,-100,-100,-79,-80,-58,-59,-71,-72,-72,-69,-69,-87,-100,-80,-73,-64,-64,-100,-100,-100,-100,-83,-100,-100,-65,-80,-59,-69,-81,-64,-78,-100,-100,-65,-100,-61,-61,-78,-70,-86,-100,-72,-61,-100,-86,-79,-100,-70,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-80,-80,-80,-100,-100,-100,-100,-100,-100,-87,-87,-100,-83,-83,-83,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,440,1755702613027
-73,-74,-77,-100,-100,-78,-100,-100,-73,-77,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-78,-100,-100,-83,-78,-68,-73,-72,-82,-65,-66,-100,-100,-79,-82,-64,-63,-73,-72,-72,-68,-69,-87,-100,-83,-73,-67,-68,-100,-100,-100,-100,-83,-72,-100,-66,-81,-64,-69,-83,-68,-77,-100,-100,-66,-66,-61,-61,-78,-70,-88,-62,-72,-61,-100,-87,-79,-73,-73,-100,-100,-81,-83,-83,-100,-100,-100,-73,-100,-100,-69,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-86,-100,-100,-100,-100,-100,-100,-83,-80,-83,-100,-100,-100,-100,-100,-100,-87,-87,-100,-83,-83,-83,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,440,1759462762950
-75,-75,-78,-100,-100,-78,-100,-100,-73,-77,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-76,-100,-100,-79,-78,-69,-72,-72,-83,-65,-66,-100,-100,-82,-82,-64,-63,-73,-100,-100,-69,-69,-100,-81,-83,-100,-66,-66,-100,-100,-100,-100,-100,-72,-100,-66,-82,-64,-70,-84,-66,-78,-100,-100,-65,-65,-61,-61,-77,-69,-87,-66,-100,-61,-91,-87,-79,-73,-72,-100,-100,-81,-84,-83,-100,-100,-100,-73,-100,-100,-69,-100,-100,-100,-100,-100,-87,-88,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-82,-100,-82,-81,-86,-100,-100,-100,-100,-100,-100,-78,-100,-83,-100,-100,-100,-100,-100,-100,-100,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,440,1763239848950
-75,-74,-78,-100,-100,-78,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-79,-100,-100,-77,-78,-69,-72,-72,-81,-65,-65,-100,-100,-82,-81,-63,-64,-71,-75,-76,-69,-69,-100,-81,-82,-75,-68,-68,-100,-100,-100,-100,-78,-73,-100,-65,-81,-64,-69,-83,-68,-80,-100,-100,-65,-65,-61,-61,-80,-68,-88,-65,-100,-61,-91,-87,-80,-73,-72,-100,-100,-100,-82,-82,-100,-100,-100,-73,-100,-100,-68,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-82,-100,-82,-81,-87,-100,-100,-100,-100,-100,-100,-80,-80,-80,-100,-100,-100,-100,-100,-100,-86,-87,-90,-88,-88,-100,-88,-88,-85,-100,-100,-85,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,440,1767036403566
-75,-75,-80,-100,-100,-80,-100,-100,-75,-80,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-77,-100,-100,-80,-80,-70,-75,-75,-81,-67,-67,-100,-100,-79,-80,-62,-62,-71,-72,-72,-68,-69,-100,-81,-81,-75,-69,-69,-100,-100,-100,-100,-81,-75,-100,-66,-79,-62,-68,-81,-69,-77,-100,-100,-66,-66,-62,-61,-77,-64,-88,-65,-73,-62,-100,-87,-79,-72,-72,-100,-100,-100,-81,-81,-100,-100,-100,-72,-100,-80,-68,-100,-100,-100,-82,-100,-87,-88,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-82,-82,-82,-82,-87,-100,-100,-100,-100,-100,-100,-80,-80,-80,-100,-100,-100,-100,-100,-100,-86,-87,-100,-85,-85,-85,-85,-88,-85,-100,-100,-85,-88,-100,-87,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,440,1770758115643
-73,-73,-80,-100,-100,-80,-100,-100,-73,-80,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-79,-100,-100,-79,-80,-70,-75,-75,-81,-70,-70,-100,-100,-81,-82,-61,-62,-71,-74,-74,-67,-68,-100,-80,-82,-100,-69,-69,-100,-100,-100,-100,-81,-75,-100,-70,-82,-61,-68,-83,-69,-78,-100,-100,-68,-68,-62,-62,-78,-64,-88,-68,-75,-62,-100,-87,-76,-74,-74,-100,-100,-100,-82,-82,-100,-100,-100,-74,-100,-80,-68,-100,-100,-100,-82,-100,-87,-88,-100,-100,-100,-68,-90,-100,-100,-100,-100,-100,-80,-82,-80,-80,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-83,-83,-89,-83,-100,-100,-82,-88,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,440,1774598788720
-69,-69,-75,-100,-100,-100,-100,-100,-70,-74,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-81,-100,-100,-79,-78,-65,-100,-100,-76,-66,-66,-100,-100,-76,-76,-61,-60,-72,-73,-74,-70,-70,-83,-100,-79,-73,-66,-66,-100,-100,-100,-100,-78,-100,-89,-66,-77,-61,-70,-79,-66,-81,-100,-100,-68,-68,-62,-62,-82,-71,-100,-68,-73,-62,-100,-100,-78,-72,-72,-100,-100,-100,-80,-79,-100,-100,-100,-73,-100,-100,-71,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-89,-80,-88,-100,-87,-100,-100,-80,-100,-100,-100,-82,-100,-81,-100,-100,-100,-100,-100,-100,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,423,1814498894646
-71,-71,-75,-100,-100,-100,-100,-100,-71,-73,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-80,-100,-100,-75,-75,-69,-73,-73,-78,-66,-67,-100,-100,-78,-78,-62,-62,-71,-73,-74,-71,-71,-83,-100,-80,-71,-66,-66,-100,-100,-100,-100,-75,-72,-89,-67,-77,-62,-71,-80,-66,-81,-100,-100,-67,-65,-61,-61,-80,-72,-87,-66,-73,-62,-100,-87,-80,-75,-75,-100,-100,-100,-80,-80,-100,-100,-100,-75,-100,-100,-72,-100,-100,-100,-80,-100,-88,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-86,-81,-85,-85,-87,-100,-100,-82,-100,-100,-100,-82,-81,-81,-100,-100,-100,-100,-100,-100,-87,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,423,1818153037800
-71,-71,-100,-100,-100,-74,-100,-100,-72,-74,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-80,-100,-100,-74,-74,-68,-73,-73,-79,-66,-66,-87,-87,-79,-79,-62,-62,-72,-73,-74,-74,-74,-100,-82,-79,-71,-66,-66,-100,-100,-100,-100,-74,-74,-87,-67,-79,-62,-74,-79,-66,-81,-100,-100,-67,-68,-61,-61,-80,-73,-88,-68,-74,-62,-90,-87,-82,-77,-76,-100,-100,-100,-79,-79,-100,-100,-100,-76,-100,-100,-73,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-85,-81,-85,-85,-85,-100,-100,-82,-100,-81,-100,-100,-81,-83,-100,-100,-100,-100,-100,-100,-85,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,423,1821866774108
-69,-69,-100,-100,-100,-75,-100,-100,-70,-75,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-77,-77,-67,-74,-74,-81,-67,-67,-87,-87,-81,-80,-63,-63,-72,-73,-73,-72,-72,-100,-80,-80,-73,-65,-66,-100,-100,-100,-100,-77,-74,-89,-67,-81,-62,-72,-80,-66,-100,-100,-100,-67,-67,-62,-62,-100,-72,-88,-67,-73,-62,-90,-89,-77,-77,-76,-100,-100,-100,-80,-80,-100,-100,-100,-76,-100,-100,-72,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-84,-81,-85,-86,-86,-100,-100,-100,-100,-81,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-86,-86,-91,-86,-100,-86,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,423,1825565996108
-71,-71,-75,-100,-100,-75,-100,-100,-71,-75,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-82,-100,-100,-73,-73,-67,-74,-74,-79,-67,-67,-100,-87,-79,-79,-63,-63,-72,-74,-73,-75,-75,-100,-80,-81,-71,-65,-66,-100,-100,-100,-100,-73,-74,-87,-67,-80,-62,-75,-81,-65,-82,-100,-100,-67,-67,-62,-61,-81,-72,-100,-67,-74,-61,-100,-89,-80,-76,-77,-100,-100,-82,-81,-81,-100,-100,-100,-77,-100,-100,-72,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-85,-81,-85,-85,-86,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-91,-92,-100,-86,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,423,1829353509723
-71,-71,-75,-100,-100,-75,-100,-100,-71,-75,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-76,-100,-100,-75,-73,-66,-74,-73,-77,-67,-67,-100,-87,-76,-79,-63,-62,-72,-74,-73,-70,-70,-86,-80,-80,-75,-64,-64,-100,-100,-100,-100,-73,-74,-87,-67,-77,-63,-70,-80,-64,-75,-100,-100,-69,-68,-62,-61,-76,-72,-88,-69,-74,-62,-100,-100,-79,-74,-75,-100,-100,-82,-80,-80,-100,-100,-100,-75,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-85,-79,-85,-85,-86,-100,-100,-100,-100,-81,-100,-82,-82,-83,-100,-100,-100,-100,-100,-100,-86,-86,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,423,1833091185877
-100,-72,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-73,-100,-100,-100,-74,-62,-100,-100,-100,-69,-70,-86,-87,-82,-83,-60,-60,-100,-70,-70,-70,-70,-100,-100,-77,-73,-73,-73,-100,-100,-100,-100,-100,-100,-88,-70,-83,-60,-70,-77,-73,-74,-100,-100,-70,-70,-62,-62,-74,-71,-100,-70,-71,-62,-100,-100,-81,-73,-73,-100,-100,-100,-77,-77,-100,-100,-100,-73,-100,-100,-72,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-78,-100,-82,-82,-81,-81,-80,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-89,-100,-84,-83,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,261,406,1877392353419
