b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:25:e3,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:13,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1e:ff:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:02,38:17:c3:1f:01:82,38:17:c3:1f:01:80,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,80:8d:b7:55:3a:51,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,20:a6:cd:50:24:b0,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1f:09:83,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,38:17:c3:1f:09:93,00:4e:35:df:06:40,b4:5d:50:e1:92:23,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,44:48:c1:a5:82:20,00:4e:35:de:e1:12,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:19:d7:62,68:ff:7b:e4:af:38,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:41,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:60,38:17:c3:19:45:a0,38:17:c3:19:71:90,38:17:c3:19:55:50,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:96:43,38:17:c3:1e:ff:00,00:4e:35:df:06:42,38:17:c3:1f:22:32,38:17:c3:1f:01:81,38:17:c3:19:45:a1,38:17:c3:19:45:a2,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:40,b4:5d:50:e1:92:33,38:17:c3:19:45:b0,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e3,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,b4:5d:50:e1:92:31,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:1f:08:51,38:17:c3:19:55:42,38:17:c3:1f:08:50,38:17:c3:1f:08:52,44:48:c1:91:95:b3,a8:bd:27:4c:bd:22,44:48:c1:91:95:b2,a8:bd:27:4c:bd:21,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:41,00:4e:35:de:d7:53,38:17:c3:1f:08:40,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,00:4e:35:df:0e:00,38:17:c3:1b:08:b1,38:17:c3:24:4f:10,00:4e:35:df:27:12,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:1f:0f:92,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:90,38:17:c3:1f:0f:91,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,0a:05:a7:e3:d9:82,9e:2b:77:8e:45:c7,38:17:c3:1f:00:b2,44:48:c1:91:95:b1,38:17:c3:1f:00:b1,80:8d:b7:55:4d:10,44:48:c1:91:95:b0,x,y,label
-50,-86,-70,-70,-70,-100,-100,-100,-100,-95,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-72,-100,-100,-100,-100,-91,-91,-100,-100,-100,-100,-71,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-72,-72,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-54,-100,-54,-100,-100,-100,-100,-100,-100,-100,-79,-78,-77,-94,-100,-100,-52,-52,-52,-98,-90,-100,-98,-90,-90,-100,-100,-100,-97,-100,-100,-100,-97,-97,-88,-100,-100,-100,-100,-100,-100,-100,-100,-93,-97,-97,-100,-100,-100,-100,-100,-96,-100,-100,-92,-96,-94,-100,-100,-80,-100,-100,-100,-100,-100,360.4,799.6000000000007,51.0
-51,-87,-72,-72,-72,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-67,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-55,-100,-55,-100,-100,-100,-100,-100,-100,-100,-84,-78,-77,-92,-100,-100,-56,-56,-56,-98,-96,-100,-95,-96,-96,-100,-100,-100,-93,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-99,-93,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,360.4,799.6000000000007,51.0
-51,-87,-72,-72,-72,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-67,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-55,-100,-55,-100,-100,-100,-100,-100,-100,-100,-84,-78,-77,-92,-100,-100,-56,-56,-56,-98,-96,-100,-95,-96,-96,-100,-100,-100,-93,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-99,-93,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,360.4,799.6000000000007,51.0
-51,-88,-73,-73,-73,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-73,-98,-100,-100,-100,-68,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-56,-100,-56,-100,-100,-100,-100,-100,-100,-100,-81,-77,-77,-92,-100,-100,-55,-55,-55,-97,-96,-100,-96,-96,-96,-100,-100,-100,-94,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-93,-98,-94,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52.0
-51,-87,-72,-72,-72,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-67,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-55,-100,-55,-100,-100,-100,-100,-100,-100,-100,-84,-78,-77,-92,-100,-100,-56,-56,-56,-98,-96,-100,-95,-96,-96,-100,-100,-100,-93,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-99,-93,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52.0
-51,-87,-72,-72,-72,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-67,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-55,-100,-55,-100,-100,-100,-100,-100,-100,-100,-84,-78,-77,-92,-100,-100,-56,-56,-56,-98,-96,-100,-95,-96,-96,-100,-100,-100,-93,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-99,-93,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52.0
-51,-87,-72,-72,-72,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-67,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-55,-100,-55,-100,-100,-100,-100,-100,-100,-100,-84,-78,-77,-92,-100,-100,-56,-56,-56,-98,-96,-100,-95,-96,-96,-100,-100,-100,-93,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-99,-93,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52.0
-62,-88,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-80,-88,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-74,-73,-100,-89,-100,-100,-100,-100,-100,-96,-95,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-66,-100,-66,-97,-66,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-76,-100,-100,-57,-56,-56,-92,-100,-100,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-80,-80,-90,-96,-89,-100,-100,-100,-100,-100,-100,-90,-100,-80,-99,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52.0
-51,-87,-72,-72,-72,-100,-100,-100,-100,-92,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-67,-100,-100,-100,-100,-97,-96,-100,-100,-100,-100,-73,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-55,-100,-55,-100,-100,-100,-100,-100,-100,-100,-84,-78,-77,-92,-100,-100,-56,-56,-56,-98,-96,-100,-95,-96,-96,-100,-100,-100,-93,-100,-100,-100,-95,-95,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-99,-93,-100,-100,-100,-100,-100,-99,-100,-100,-93,-99,-99,-100,-100,-81,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52.0
-58,-85,-74,-74,-74,-100,-100,-100,-100,-97,-100,-100,-100,-100,-100,-99,-100,-100,-99,-100,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-77,-96,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-68,-68,-100,-97,-100,-100,-100,-100,-100,-99,-99,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-97,-97,-100,-100,-100,-100,-100,-100,-61,-100,-61,-99,-61,-100,-100,-100,-100,-100,-100,-100,-77,-75,-75,-84,-100,-100,-57,-56,-56,-98,-100,-100,-90,-100,-100,-100,-100,-100,-88,-100,-100,-100,-91,-91,-94,-98,-97,-100,-100,-100,-100,-100,-100,-89,-100,-91,-95,-99,-99,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53.0
-62,-88,-78,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-79,-89,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-73,-73,-100,-91,-100,-100,-100,-100,-100,-97,-96,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-90,-100,-100,-100,-100,-100,-100,-65,-100,-65,-97,-65,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-77,-100,-100,-56,-56,-56,-94,-100,-100,-80,-100,-100,-100,-100,-100,-80,-100,-100,-100,-81,-81,-90,-96,-90,-100,-100,-100,-100,-100,-100,-90,-100,-81,-98,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53.0
-61,-87,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-98,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-81,-88,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-74,-73,-100,-88,-100,-100,-100,-100,-100,-96,-95,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-66,-100,-66,-96,-66,-100,-100,-100,-100,-100,-100,-100,-71,-72,-72,-75,-100,-100,-57,-56,-56,-92,-100,-100,-75,-100,-100,-100,-100,-100,-75,-100,-100,-100,-80,-80,-89,-95,-88,-100,-100,-100,-100,-100,-100,-89,-100,-80,-99,-97,-96,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53.0
-61,-87,-77,-77,-77,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-97,-100,-100,-98,-100,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-78,-92,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-72,-71,-100,-93,-100,-100,-100,-100,-100,-98,-97,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-93,-93,-100,-100,-100,-100,-100,-100,-64,-100,-64,-98,-64,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-79,-100,-100,-56,-56,-56,-95,-100,-100,-84,-100,-100,-100,-100,-100,-83,-100,-100,-100,-85,-85,-92,-97,-93,-100,-100,-100,-100,-100,-100,-90,-100,-85,-97,-98,-98,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53.0
-62,-88,-78,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-79,-89,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-73,-73,-100,-91,-100,-100,-100,-100,-100,-97,-96,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-90,-100,-100,-100,-100,-100,-100,-65,-100,-65,-97,-65,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-77,-100,-100,-56,-56,-56,-94,-100,-100,-80,-100,-100,-100,-100,-100,-80,-100,-100,-100,-81,-81,-90,-96,-90,-100,-100,-100,-100,-100,-100,-90,-100,-81,-98,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53.0
-61,-87,-77,-77,-77,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-97,-100,-100,-98,-100,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-78,-92,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-72,-71,-100,-93,-100,-100,-100,-100,-100,-98,-97,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-93,-93,-100,-100,-100,-100,-100,-100,-64,-100,-64,-98,-64,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-79,-100,-100,-56,-56,-56,-95,-100,-100,-84,-100,-100,-100,-100,-100,-83,-100,-100,-100,-85,-85,-92,-97,-93,-100,-100,-100,-100,-100,-100,-90,-100,-85,-97,-98,-98,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53.0
-62,-88,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-80,-88,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-74,-73,-100,-89,-100,-100,-100,-100,-100,-96,-95,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-66,-100,-66,-97,-66,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-76,-100,-100,-57,-56,-56,-92,-100,-100,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-80,-80,-90,-96,-89,-100,-100,-100,-100,-100,-100,-90,-100,-80,-99,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,317.80000000000007,799.6000000000007,54.0
-62,-88,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-80,-88,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-74,-73,-100,-89,-100,-100,-100,-100,-100,-96,-95,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-66,-100,-66,-97,-66,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-76,-100,-100,-57,-56,-56,-92,-100,-100,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-80,-80,-90,-96,-89,-100,-100,-100,-100,-100,-100,-90,-100,-80,-99,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,317.80000000000007,799.6000000000007,54.0
-62,-88,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-80,-88,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-74,-73,-100,-89,-100,-100,-100,-100,-100,-96,-95,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-66,-100,-66,-97,-66,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-76,-100,-100,-57,-56,-56,-92,-100,-100,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-80,-80,-90,-96,-89,-100,-100,-100,-100,-100,-100,-90,-100,-80,-99,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,317.80000000000007,799.6000000000007,54.0
-62,-88,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-98,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-80,-88,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-74,-73,-100,-89,-100,-100,-100,-100,-100,-96,-95,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-66,-100,-66,-97,-66,-100,-100,-100,-100,-100,-100,-100,-72,-73,-73,-76,-100,-100,-57,-56,-56,-92,-100,-100,-77,-100,-100,-100,-100,-100,-77,-100,-100,-100,-80,-80,-90,-96,-89,-100,-100,-100,-100,-100,-100,-90,-100,-80,-99,-97,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,317.80000000000007,799.6000000000007,54.0
