ea:9e:b4:53:24:54,b8:27:eb:9f:6b:77,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,38:17:c3:1f:0e:12,80:8d:b7:55:39:c2,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:35:01,80:8d:b7:55:39:c1,80:8d:b7:55:35:00,b0:be:76:f8:30:5e,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:1f:01:81,80:8d:b7:55:39:d0,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f2,38:17:c3:19:d7:61,80:8d:b7:55:25:f0,44:48:c1:a5:82:32,38:17:c3:1f:01:92,38:17:c3:1f:01:91,38:17:c3:19:d7:60,38:17:c3:1f:01:90,44:48:c1:a5:82:31,44:48:c1:a5:82:30,00:4e:35:df:06:50,38:17:c3:1e:ff:01,00:4e:35:df:06:52,38:17:c3:1e:ff:10,80:8d:b7:55:39:c0,80:8d:b7:55:25:e3,38:17:c3:19:d7:62,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:50,38:17:c3:1e:ff:02,44:48:c1:a5:82:21,38:17:c3:1e:ff:00,20:a6:cd:50:24:a1,38:17:c3:1e:ff:11,00:4e:35:df:06:51,38:17:c3:1e:ff:12,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,44:48:c1:a5:82:22,20:a6:cd:50:24:b1,20:a6:cd:50:24:b0,20:a6:cd:50:24:a2,b4:5d:50:e1:92:23,80:8d:b7:55:25:e2,38:17:c3:1f:01:80,80:8d:b7:55:3a:41,66:2a:2f:53:7c:99,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,60:32:b1:3e:1a:b8,38:17:c3:19:45:b0,38:17:c3:19:45:b1,20:a6:cd:50:24:a0,72:32:b1:3e:1a:b7,38:17:c3:1f:01:82,00:4e:35:df:06:41,00:4e:35:df:06:42,20:a6:cd:50:24:b2,00:4e:35:df:06:40,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:21,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b7,38:17:c3:19:55:50,38:17:c3:19:45:b2,38:17:c3:1f:22:30,38:17:c3:1f:22:32,00:4e:35:de:e1:12,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:de:e1:00,b4:5d:50:e1:92:20,b4:5d:50:e1:92:33,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,b4:5d:50:e1:92:31,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,00:4e:35:de:e1:01,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:19:55:42,00:4e:35:de:e1:02,68:ff:7b:e4:af:39,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,38:17:c3:19:71:90,38:17:c3:19:71:82,00:4e:35:de:d7:50,38:17:c3:1f:22:31,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:1f:08:50,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:de:d7:43,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:df:0e:12,38:17:c3:1f:22:21,a8:bd:27:4c:bd:22,38:17:c3:19:71:80,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,x,y,timestamp
-100,-33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-74,-100,-100,-100,-100,-87,-88,-88,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-56,-58,-50,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-85,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,366,107,14732995795680
-100,-30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-76,-100,-100,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-76,-77,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-56,-57,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,366,107,14736070476929
-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-100,-100,-100,-100,-88,-86,-87,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-89,-100,-100,-100,-100,-100,-100,-76,-77,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-78,-79,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-58,-57,-50,-50,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-75,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,366,107,14739107997397
-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-72,-100,-100,-100,-100,-88,-89,-88,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-72,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-48,-48,-49,-49,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,380,107,14773693626758
-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-72,-100,-100,-100,-100,-88,-89,-88,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-72,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-48,-48,-49,-49,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,380,107,14776715344830
-100,-42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-74,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-48,-48,-49,-49,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,380,107,14779735227641
-100,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-74,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-48,-48,-49,-48,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,380,107,14782747371494
-100,-33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-74,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-69,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-48,-48,-49,-48,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,380,107,14785781664983
-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-100,-100,-100,-100,-89,-89,-87,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-69,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-48,-48,-49,-48,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,380,107,14788835289721
-100,-34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-75,-100,-100,-100,-100,-89,-89,-88,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-71,-70,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-53,-54,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-84,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,394,107,14819472191533
-100,-36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-73,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-69,-68,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-53,-54,-49,-49,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-84,-90,-100,-84,-85,-100,-100,-100,-100,-100,-100,394,107,14822531627261
-100,-40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-76,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-69,-68,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-56,-56,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-84,-90,-100,-84,-85,-100,-100,-100,-100,-100,-100,394,107,14825261227885
-100,-36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-70,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-56,-55,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-84,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,394,107,14828262554238
-100,-39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-75,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-71,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-57,-57,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-84,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,394,107,14831229533559
-100,-36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-76,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-67,-68,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-55,-57,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-84,-100,-100,-83,-85,-100,-100,-100,-100,-100,-100,394,107,14834221262517
-100,-32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-77,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-59,-59,-54,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-83,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,408,107,14863803590318
-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-77,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-58,-59,-53,-53,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,408,107,14866791783858
-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-81,-75,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-58,-100,-58,-59,-54,-53,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-87,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,408,107,14869887120315
-100,-42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-79,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-78,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-55,-100,-56,-56,-54,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-83,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,408,107,14872903095418
-100,-38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-76,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-59,-56,-53,-54,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-83,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,408,107,14875939932709
-100,-36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-81,-83,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-59,-58,-53,-54,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-83,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,408,107,14878876423906
-100,-35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-73,-100,-100,-100,-100,-89,-91,-90,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-76,-77,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-63,-64,-62,-62,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-86,-91,-100,-87,-100,-91,-100,-100,-100,-100,-100,422,107,14917160808995
-100,-35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-100,-100,-100,-100,-89,-91,-90,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-63,-64,-64,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-86,-90,-100,-87,-100,-91,-100,-100,-100,-90,-100,422,107,14920200958369
-100,-33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-64,-65,-64,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-90,-100,-100,-100,-92,-100,-100,-100,-90,-100,422,107,14923254915764
